depth_index,depth_m,n_valid_cells,rmse,mae,bias,pearson_r
0,0.494,509722,0.404557,0.2950419,-0.06374829,0.9659619549953882
1,1.541,509722,0.4038476,0.29314008,-0.06896321,0.9659720053376235
2,2.645,509722,0.405897,0.29377234,-0.07002408,0.9653954393645653
3,3.819,509722,0.4081948,0.2940118,-0.068177454,0.9648583043268447
4,5.078,509722,0.4137472,0.29644597,-0.06541914,0.9638585195576105
5,6.441,509722,0.4230149,0.30072808,-0.065979876,0.9620280741021994
6,7.929,499918,0.41718438,0.29452544,-0.06505806,0.9610319549082664
7,9.573,497338,0.42806825,0.30194432,-0.070064165,0.9580682919996208
8,11.405,494027,0.43406343,0.30193448,-0.05032806,0.9550949607105651
9,13.467,491748,0.45237577,0.3118061,-0.047889557,0.9506148344468335
10,15.81,489469,0.47570777,0.3215938,-0.039707992,0.9449392507005502
11,18.496,486115,0.5033665,0.33540404,-0.03424797,0.938411066654496
12,21.599,481901,0.540975,0.3553218,-0.0294616,0.9292544267932364
13,25.211,477128,0.57952946,0.37785956,-0.030044664,0.9221728078400576
14,29.445,472742,0.62912345,0.4062922,-0.031292588,0.915141034521114
15,34.434,467625,0.6897067,0.44652873,-0.034544323,0.9055953798331206
16,40.344,461949,0.7623888,0.49963778,-0.051308744,0.8952999399549586
17,47.373,455069,0.7982944,0.5070969,0.06612379,0.8964448443787123
18,55.764,447157,0.8537358,0.55583537,0.09498716,0.8944647049328542
19,65.807,437525,0.9081947,0.61290455,0.10033182,0.8951821570359318
20,77.853,429226,0.9594785,0.67543,0.08584754,0.8999715094897972
21,92.326,423851,0.98630005,0.7136128,0.065594986,0.9081231404848487
22,109.729,419809,0.9478438,0.6976788,0.03408365,0.9239362439908789
23,130.666,417616,0.869899,0.64767617,-0.030505035,0.9397578445535368
24,155.851,415552,0.7932618,0.5769757,-0.078568265,0.9476104138413063
25,186.126,413574,0.7216058,0.5365941,0.015423307,0.9464546822746478
26,222.475,411811,0.5741209,0.42333952,0.005772652,0.9564493351414115
27,266.04,409876,0.49934435,0.36261886,0.013010925,0.9589779548454853
28,318.127,408156,0.44652152,0.3126415,0.0031716514,0.9577254596353784
29,380.213,406049,0.37844554,0.2583075,-8.435183e-05,0.9607469817615253
30,453.938,404329,0.33955413,0.23665458,0.0040914738,0.965726134026233
31,541.089,401147,0.32313627,0.2320336,0.0017897933,0.9661207962885698
32,643.567,398782,0.34105632,0.2458646,0.007514058,0.9640558028535784
33,763.333,396030,0.34629473,0.2503009,0.0016395008,0.9603862946433687
34,902.339,391343,0.35765335,0.25794944,0.0010735779,0.9517290907156836
