depth_index,depth_m,rmse,mae,bias,pearson_r
0,0,0.42134725878687523,0.30787886538729,-0.02587374539270719,0.9616225696781792
1,5,0.4159577977137685,0.2976367945545192,-0.016182190515604454,0.9613189858159803
2,10,0.4440358977807933,0.30885357912351824,-0.02700618530908477,0.9506819784392143
3,20,0.5617531841565974,0.36829504165120236,-0.013614679890251686,0.9179092019694707
4,30,0.7141731817342787,0.45422612249427585,-0.010404133949054682,0.8919321439956645
5,50,0.9920706193761618,0.6900769806738161,0.048711127791352796,0.8706787402717597
6,75,0.6945558757283017,0.49735839553986094,0.130995709881286,0.9428712406591658
7,100,0.4369879466252733,0.2928462387063011,0.02070725691366802,0.9502737061281821
8,125,0.30855843925768667,0.2089024745516861,-0.01611727815077113,0.9619745252045662
9,150,0.3094736752335769,0.214123273798102,-0.025618941052865062,0.9601647679427006
10,200,0.32634210613674625,0.22488987458600915,-0.025852113855072762,0.9541177093920853
11,300,0.3182369506834434,0.21887869316281106,-0.02342968433563455,0.9552466466259532
12,500,0.3134796226324466,0.21483445718241534,-0.01858482529675843,0.9545008664393955
13,700,0.32432840776775645,0.2214567550344638,-0.01373996625788241,0.9493165983086541
14,1000,0.3663017053677408,0.24680587919143632,-0.006472677699568401,0.9324418352993206
